# From Magerman
" S-P.A. ", " SPA "
" S. P. A. ", " SPA "
" GESELLSCHAFT MIT BE- SCHRAENKTER HAFTUNG ", " GMBH "
# " A/S ", " AS "  # covered in additional removals
# " A./S ", " AS "  # covered in additional removals
" U. CO. ", " & CO "
" A.-G. ", " AG "
" A/G ", " AG "
" AKTIEN-GESELLSCHAFT ", " AKTIENGESELLSCHAFT "
" AKTIENGESELLSCHAFT UNDCO ", " AKTIENGESELLSCHAFT & CO "
" P. L. C. ", " PLC "
" S.S.R.L. ", " SRL "
" A \SOCIETE ANONYME\ ", " SA "
" LIMI-TED COMPANY ", " LIMITED COMPANY "
" LIMITED COM-PANY ", " LIMITED COMPANY "


