# Added by Stas Vlasov
" CO OF AMERICA "," CORP " # 2018-01-02
" & COMPANIA ", " & CO "
" COMPANIA ", " CO "
" DEVELOPEMENT "," DEVELOPMENT "  # 2018-01-02
" MANUFACTURIN ", " MANUFACTURING "
" PUPLIC ", " PUBLIC "
" AKTIEBOLG ", " AB "
" KOMMANDITGES ", " KG "
" CIE S A ", " CIE SA "
" SOICIETE ANONYME ", " SA "
" SOCIETEY ANONYME ", " SA "
" SOCIET E ANONYME ", " SA "
" EN CO NV ", " & CO NV "
" AKTIENGESELL SCHAFT ", " AS "
" AKTIENGESELL SCHAFT ", " AS "
" AKTIENGESELL SCHAFT ", " AS "
" AGAKTIENGESELL SCHAFT ", " AS "
" CIEAKTIENGESELL SCHAFT ", " AS "
" AKTIENGESELL SCHAFT ", " AS "
" PLC A BRITISH PUBLIC LIMITED ", " PLC "
" A PUBLIC LIMITED ", " PLC "
" PUBLIC LIMITED ", " PLC "
" AN ITALIAN LIMITED ", " LTD "
" A DUTCH LIMITED ", " LTD "
" A LIMITED COMPANY ", " LTD "
" GES M B H ", " GMBH "
# KABUSHIKI KAISHA from Magerman et al. (2006 )
" YUEN KASHA ", " KABUSHIKI KAISHA "
" KABUSK KASHA ", " KABUSHIKI KAISHA "
" KABUSHKA KASHA ", " KABUSHIKI KAISHA "
" KABUSH KASHA ", " KABUSHIKI KAISHA "
" KUBUSHK KASHA ", " KABUSHIKI KAISHA "
" KABSHK KASHA ", " KABUSHIKI KAISHA "
" KABUSHK KASHA ", " KABUSHIKI KAISHA "
" KABUSHK KASHA ", " KABUSHIKI KAISHA "
" KABSHK KASHA ", " KABUSHIKI KAISHA "
" KAUBSHK KASHA ", " KABUSHIKI KAISHA "
" KASBUSHK KASHA ", " KABUSHIKI KAISHA "
" KABUSHH KASHA ", " KABUSHIKI KAISHA "
" KABUSKK KASHA ", " KABUSHIKI KAISHA "
" KABSUHK KASHA ", " KABUSHIKI KAISHA "
" KAUSHK KASHA ", " KABUSHIKI KAISHA "
" KABUHSK KASHA ", " KABUSHIKI KAISHA "
" KAUBUSHK KASHA ", " KABUSHIKI KAISHA "
" KBUSHK KASHA ", " KABUSHIKI KAISHA "
" KANUSHK KASHA ", " KABUSHIKI KAISHA "
" KABUSHKK KASHA ", " KABUSHIKI KAISHA "
" KASHA KASHA ", " KABUSHIKI KAISHA "
" KABUSHHK KASHA ", " KABUSHIKI KAISHA "
" KABUSK KASHA ", " KABUSHIKI KAISHA "
" KABUSHK KASHA ", " KABUSHIKI KAISHA "
" KABUSBK KASHA ", " KABUSHIKI KAISHA "
" KABSHUK KASHA ", " KABUSHIKI KAISHA "
" KABUSHKA KASHA ", " KABUSHIKI KAISHA "
" KABUSHKO KASHA ", " KABUSHIKI KAISHA "
" KABSUSHK KASHA ", " KABUSHIKI KAISHA "
" YUUEN KASHA ", " KABUSHIKI KAISHA "
" KABUHK KASHA ", " KABUSHIKI KAISHA "
" KOYOKABUSHK KASHA ", " KOGYO KABUSHIKI KAISHA "
" KABUSHL KASHA ", " KABUSHIKI KAISHA "
" KABUSHUKI KAISHA ", " KABUSHIKI KAISHA "
" KAGUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHISKI KAISHA ", " KABUSHIKI KAISHA "
" KABUBSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUKSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABURHIKI KAISHA ", " KABUSHIKI KAISHA "
