"-ADR"," "
"-ADS"," "
"-CL A "," "
"-CL B "," "
"-CONN "," "
"-CONSOLIDATED "," "
"-DEL "," "
"-DE "," "
"-NY SHARES "," "
"-OLD "," "
"-ORD "," "
"-PRE AMEND "," "
"-PRE DIVEST "," "
"-PREAMEND "," "
"-PREDIVEST "," "
"-PROJ "," "
"-PROJECTED "," "
"-PREF "," "
"-PRE FASB "," "
"-PREFASB "," "
"-PRO FORMA "," "
"- PRO FORMA "," "
"-PRO FORMA1 "," "
"-PRO FORMA2 "," "
"-PRO FORMA3 "," "
"-REDH "," "
"-SER A COM "," "
"-SER A "," "
"-SPN "," "
" ACCPTNCE "," ACCEPTANCE "
" BANCORPORATION "," BANCORP "
" BANCORPORTN "," BANCORP "
" BANCRP "," BANCORP "
" BNCSHRS "," BANCSHARES "
" BRWG "," BREWING "
" CHEVRONTEXACO "," CHEVRON TEXACO "
" CHSE "," CHASE "
" COMMN "," COMMUNICATION "
" COMMUN "," COMMUNICATION "
" COMMUNICATNS "," COMMUNICATION "
" COMMUNICATIONS "," COMMUNICATION "
" DPT STS "," DEPT STORES "
" DPT "," DEPT "
" ENRGY "," ENERGY "
" FINL "," FINANCIAL "
" FNCL "," FINANCIAL "
" GRP "," GROUP "
" HLDGS "," HOLDINGS "
" HLDG "," HOLDING "
" HLT NTWK "," HEALTH NETWORK "
" HTLS RES "," HOTELS & RESORTS "
" HLTH "," HEALTH "
" INTRTECHNLGY "," INTERTECHNOLOGY "
" JPMORGAN "," J P MORGAN "
" MED OPTIC "," MEDICAL OPTICS "
" MINNESOTA MINING AND MANUFACTURING COMPANY "," 3M COMPANY "
" NAT RES "," NATURAL RESOURCES "
" NETWRKS "," NETWORK "
" PHARMACTICALS "," PHARM "
" PHARMACT "," PHARM "
" PPTYS TST "," PROPERTIES TRUST "
" PPTY "," PROPERTY "
" PROPERTY TR "," PROPERTY TRUST "
" PAC RAILWY "," PACIFIC RAILWAY "
" SEMICONDTR "," SEMICONDUCTOR "
" SOLU "," SOLUTIONS "
" ST & ALMN "," STEEL & ALUMINUM "
" STD "," STANDARD "
" TECHNOLGS "," TECH "
" TECHNOL "," TECH "
" TRANSPORTATN "," TRANSPORTATION "
" ADVERTSG "," ADVERTISING "
" ADVNTGE "," ADVANTAGE "
" AIRLN "," AIRLINES "
" AIRLS "," AIRLINES "
" AM "," AMERICA "
" AMER "," AMERICAN "
" APPLIAN "," APPLIANCES "
" APPLICTN "," APPLICATIONS "
" ARCHTCTS "," ARCHITECTS "
" ASSD "," ASSOCIATED "
" ASSOC "," ASSOCIATES "
" ASSOCS "," ASSOCIATES "
" ATOMC "," ATOMIC "
" BANCSH "," BANCSHARES "
" BANCSHR "," BANCSHARES "
" BCSHS "," BANCSHARES "
" BK "," BANK "
" BLDGS "," BUILDINGS "
" BROADCASTG "," BROADCASTING "
" BTLNG "," BOTTLING "
" CBLVISION "," CABLEVISION "
" CENTRS "," CENTERS "
" CHAMPNSHIP "," CHAMPIONSHIP "
" CMMNCTNS "," COMMUNICATIONS "
" CNVRSION "," CONVERSION "
" COFF "," COFFEE "
" COMM "," COMMUNICATIONS "
" COMMUN "," COMMUNICATIONS "
" COMMUNCTN "," COMMUNICATIONS "
" COMMUNICTNS "," COMMUNICATIONS "
" COMP "," COMPUTERS "
" COMPUTR "," COMPUTER "
" CONFERENCG "," CONFERENCING "
" CONSTRN "," CONSTR "
" CONTL "," CONTINENTAL "
" CONTNT "," CONTINENTAL "
" CONTRL "," CONTROL "
" CONTRL "," CONTROL "
" CTR "," CENTER "
" CTRS "," CENTERS "
" CVRGS "," COVERINGS "
" DEV "," DEVELOPMENT "
" DEVL "," DEVELOPMENT "
" DEVLP "," DEVELOPMENT "
" DISTR "," DISTRIBUTION "
" DISTRIBUT "," DISTRIBUTION "
" DISTRIBUTN "," DISTRIBUTION "
" ELCTRNCS "," ELECTRONICS "
" ELECTR "," ELECTRONICS "
" ENGNRD "," ENGINEERED "
" ENMT "," ENTERTAINMENT "
" ENTERTAIN "," ENTERTAINMENT "
" ENTERTNMNT "," ENTERTAINMENT "
" ENTMNT "," ENTERTAINMENT "
" ENTMT "," ENTERTAINMENT "
" ENTRPR "," ENTERPRISES "
" ENTRPRISE "," ENTERPRISES "
" ENTRPRS "," ENTERPRISES "
" ENVIR "," ENVIRONMENTAL "
" ENVIRNMNTL "," ENVIRONMENTAL "
" ENVR "," ENVIRONMENTAL "
" EQUIPMT "," EQUIPMENT "
" EXCHG "," EXCHANGE "
" EXPLOR "," EXPLORATION "
" FNDG "," FUNDING "
" GLD "," GOLD "
" GP "," GROUP "
" HLDS "," HLDGS "
" HLTHCARE "," HEALTHCARE "
" HLTHCR "," HEALTHCARE "
" HOMEMDE "," HOMEMADE "
" HSPTL "," HOSPITAL "
" ILLUM "," ILLUMINATION "
" INDL "," INDUSTRIAL "
" INDPT "," INDEPENDENT "
