" RES & DEV "," R&D "
" RECH & DEV "," R&D "
" PUBLIC LIMITED "," PLC "
" PUBLIC LIABILITY COMPANY "," PLC "
" HOLDINGS "," HLDGS "
" HOLDING "," HLDGS "
" GREAT BRITAIN "," GB "
" LTD CO "," CO LTD "
" SOC LIMITADA "," SL "
" SOC EN COMMANDITA "," SC "
" & CIA "," CO "
" SOC IN ACCOMANDITA PER AZIONI "," SA "
" SAPA "," SA "
" SOC A RESPONSABILITÀ LIMITATA "," SRL "
" HANDELSBOLAG "," HB  "
" KOMANDIT GESELLSCHAFT "," KG "
" KOMANDITGESELLSCHAFT "," KG "
" EINGETRAGENE GENOSSENSCHAFT "," EG "
" GENOSSENSCHAFT "," EG "
" GESELLSCHAFT M B H "," GMBH "
" OFFENE HANDELS GESELLSCHAFT "," OHG "
" GESMBH "," GMBH "
" GESELLSCHAFT BURGERLICHEN RECHTS "," GBR "
" GESELLSCHAFT "," GMBH "
" GMBH CO KG "," GMBH & CO KG "
" GMBH COKG "," GMBH & CO KG "
" GMBH U CO KG "," GMBH & CO KG "
" GMBH U COKG "," GMBH & CO KG "
" GMBH U CO "," GMBH & CO KG "
" GMBH CO "," GMBH & CO KG "
" AG CO KG "," AG & CO KG "
" AG COKG "," AG & CO KG "
" AG U CO KG "," AG & CO KG "
" AG U COKG "," AG & CO KG "
" AG U CO "," AG & CO KG "
" AG CO "," AG & CO KG "
" GMBH CO OHG "," GMBH & CO OHG "
" GMBH COOHG "," GMBH & CO OHG "
" GMBH U CO OHG "," GMBH & CO OHG "
" GMBH U COOHG "," GMBH & CO OHG "
" AG CO OHG "," AG & CO OHG "
" AG COOHG "," AG & CO OHG "
" AG U CO OHG "," AG & CO OHG "
" AG U COOHG "," AG & CO OHG "
" SOCIETE ANONYME SIMPLIFIEE "," SAS "
" SOC ANONYME "," SA "
" STE ANONYME "," SA "
" SARL UNIPERSONNELLE "," SARLU "
" SOC PAR ACTIONS SIMPLIFIEES "," SAS "
" SAS UNIPERSONNELLE "," SASU "
" ENTREPRISE UNIPERSONNELLE A RESPONSABILITE LIMITEE "," EURL "
" SOCIETE CIVILE IMMOBILIERE "," SCI "
" GROUPEMENT D INTERET ECONOMIQUE "," GIE "
" SOCIETE EN PARTICIPATION "," SP "
" SOCIETE EN COMMANDITE SIMPLE "," SCS "
" ANONYME DITE "," SA "
" SOC DITE "," SA "
" & CIE "," CO "
" BV BEPERKTE AANSPRAKELIJKHEID "," BVBA "
" COMMANDITAIRE VENNOOTSCHAP OP AANDELEN "," CVA "
" GEWONE COMMANDITAIRE VENNOOTSCHAP "," GCV "
" SOCIETE EN COMMANDITE PAR ACTIONS "," SCA "
" ANDELSSELSKABET "," AMBA "
" ANDELSSELSKAB "," AMBA "
" INTERESSENTSKABET "," IS "
" INTERESSENTSKAB "," IS "
" KOMMANDITAKTIESELSKABET "," KAS "
" KOMMANDITAKTIESELSKAB "," KAS "
" KOMMANDITSELSKABET "," KS "
" KOMMANDITSELSKAB "," KS "
" ANDELSLAGET "," AL "
" ANDELSLAG "," AL "
" ANSVARLIG SELSKAPET "," ANS "
" ANSVARLIG SELSKAP "," ANS "
" AKSJESELSKAPET "," AS "
" AKSJESELSKAP "," AS "
" ALLMENNAKSJESELSKAPET "," ASA "
" ALLMENNAKSJESELSKAP "," ASA "
" SELSKAP MED DELT ANSAR "," DA "
" KOMMANDITTSELSKAPET "," KS "
" KOMMANDITTSELSKAP "," KS "
" COMMANDITAIRE VENNOOTSCHAP "," CV "
" COMMANDITAIRE VENNOOTSCHAP OP ANDELEN "," CVOA "
" VENNOOTSCHAP ONDER FIRMA "," VOF "
" PUBLIKT AKTIEBOLAG "," APB "
" KOMMANDIITTIYHTIO "," KY "
" JULKINEN OSAKEYHTIO "," OYJ "
" SPOLKA AKCYJNA "," SA "
" SPOLKA PRAWA CYWILNEGO "," SC "
" SPOLKA KOMANDYTOWA "," SK "
" SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA "," SPZOO "
" SP Z OO "," SPZOO "
" SPZ OO "," SPZOO "
" SP ZOO "," SPZOO "
" ANONYMOS ETAIRIA "," AE "
" ETERRORRYTHMOS "," EE "
" ETAIRIA PERIORISMENIS EVTHINIS "," EPE "
" OMORRYTHMOS "," OE "
" AKCIOVA SPOLECNOST "," AS "
" KOMANDITNI SPOLECNOST "," KS "
" SPOLECNOST S RUCENIM OMEZENYM "," SRO "
" VEREJNA OBCHODNI SPOLECNOST "," VOS "
" AKTIONIERNO DRUSHESTWO "," AD "
" KOMANDITNO DRUSHESTWO "," KD "
" KOMANDITNO DRUSHESTWO S AKZII "," KDA "
" DRUSHESTWO S ORGRANITSCHENA OTGOWORNOST "," OCD "
